type	action	issue	page	recipe
H	2007	recipe index.	byyear
C	c	ingredient:	 apricots
r	l	Aug	71	apricot & apple charlotte
r	l	Apr	136	baked apricot chicken with parsnip and pumpkin
r	l	Jun	78	baked lamb & apricot couscous
C	c	ingredient:	 asparagus
r	l	Nov	206	asparagus, artichoke & grape tomato salad with cottage cheese
r	l	Dec	154	asparagus, ham & mascarpone tarts
r	l	Nov	191	asparagus risotto
r	l	May	82	chargrilled asparagus with gremolata creme fraiche and prosciutto
r	l	Nov	130	roasted asparagus
r	l	May	122	salad of raw asparagus and celery with anchovy & mint dressing
C	c	ingredient:	 bananas
r	l	Sep	95	banana bread
r	l	Sep	106	banana buttermilk pancakes
r	l	Dec	90	bananas with coconut butterscotch sauce and macadamia praline
r	l	Apr	131	mini banoffee tarts
C	c	ingredient:	 beans
r	l	Jul	87	baked beans with Indian flavours
r	l	May	158	blue-eye baked in a bag with cannellini beans, tomato and fennel
r	l	Jun	94	braised broad beans, peas, zucchini and asparagus (fritteda)
r	l	Sep	48	broad bean crostini with quail egg
r	l	Dec	222	cuttlefish & white-bean tabbouleh
r	l	Sep	162	fresh borlotti bean & spring vegetable soup
r	l	May	67	garlic green beans
r	l	Mar	138	Greek bean & silverbeet stew
r	l	Oct	78	green bean & asparagus salad with sesame dressing
r	l	Dec	125	green beans with basil dressing
r	l	Feb	98	green beans with hot feta dressing
r	l	Apr	118	green beans with red onion and redcurrants
r	l	Feb	133	grilled whiting with Mediterranean bean salad
r	l	Dec	176	Portuguese beans with chargrilled chorizo
r	l	Dec	106	refried beans
r	l	Aug	78	spicy sausage & bean hotpot
r	l	Feb	84	teriyaki beef & beans
r	l	Dec	156	white bean & ham polpettine
r	l	May	107	white-bean soup with pancetta
C	c	ingredient:	 beef
r	l	Aug	92	Aleppo-style beef tartare
r	l	Aug	140	basic beef casserole
r	l	Aug	141	beef & potato pies
r	l	Jul	43	beef biryani
r	l	Aug	141	beef bourguignon
r	l	Dec	85	beef fillet with star anise broth
r	l	Nov	96	beef fillet with red-wine sauce
r	l	Feb	143	beef in oyster sauce
r	l	May	162	beef pie with gnocchi topping
r	l	Aug	141	beef bourguignon
r	l	Jul	36	brisket cottage pie
r	l	Mar	76	Cajun steak with succotash salad
r	l	Jul	148	chargrilled steak with green-olive tapenade & butter-bean mash
r	l	Nov	100	chilli beef on avocado
r	l	Aug	141	chilli beef with chickpeas
r	l	Aug	143	coconut-braised beef ribs
r	l	Jun	106	corned beef & caper white sauce
r	l	Oct	97	couscous with harissa beef
r	l	Aug	131	eye fillet with celeriac remoulade
r	l	May	41	grilled porterhouse and peperonata
r	l	Apr	138	hoisin beef with snowpea sprouts
r	l	Jul	36	mulligatawny soup
r	l	Jul	63	open porterhouse sandwich
r	l	Feb	124	open steak sandwich
r	l	Jul	35	oxtail gnocchi
r	l	Oct	77	rare beef salad with mizuna
r	l	Dec	219	red curry beef & bok choy stir-fry
r	l	Oct	71	rib-eye steaks with mushroom sauce and pea mash
r	l	Jun	71	roast rib of beef & Yorkshire puddings
r	l	Jun	138	seared beef with green tea noodles and miso dressing
r	l	Mar	85	seared sirloin salad with barley, grapes & sumac
r	l	Mar	132	soy beef with tatsoi salad
r	l	Jun	10	spicy beef, olive & onion pie
r	l	May	38	steak & mushroom pie
r	l	Jun	106	steak Diane
r	l	May	68	steak tagliata with roast tomatoes
r	l	Jun	88	steak with anchovy & red wine butter
r	l	Feb	135	steak with lemon pepper potatoes
r	l	Feb	130	summer beef salad
r	l	Feb	84	teriyaki beef & beans
r	l	Oct	137	Thai chilli beef & snake bean salad
r	l	Nov	212	udon with teriyaki steak
r	l	Aug	63	vanilla-braised beef cheeks
C	c	ingredient:	 berries
r	l	Sep	72	bay-scented creams with macerated berries
r	l	Feb	116	blackberry parfait
r	l	Feb	117	blackberry tart with lemon mascarpone and crystallised basil
r	l	Mar	129	blueberry flapjacks
r	l	Dec	118	cranberry & cinnamon semifreddo
r	l	Jul	52	cranberry & rum warmer
