category	recipe
ingredient:	apricots
ingredient:	asparagus
ingredient:	bananas
ingredient:	beans
ingredient:	beef
ingredient:	berries
category:	biscuits and bars
category:	breakfast
category:	crepes, pancakes and waffles
category:	cakes and muffins
ingredient:	capsicums
ingredient:	carrots
ingredient:	cauliflower
ingredient:	cheese
ingredient:	cherries
ingredient:	chicken
ingredient:	chickpeas
category:	chilled desserts
ingredient:	chilli
ingredient:	chocolate
ingredient:	corn
ingredient:	couscous
category:	crepes, pancakes and waffles
ingredient:	cucumber
category:	curries
category:	desserts
category:	dressings and sauces
category:	drinks
ingredient:	eggplant
category:	eggs
ingredient:	figs
category:	fish
category:	fruits
ingredient:	garlic
ingredient:	honey
ingredient:	kumara
ingredient:	lamb
ingredient:	lemon
ingredient:	lemongrass
ingredient:	lentils
ingredient:	lime
ingredient:	mangoes
ingredient:	mushrooms
ingredient:	nuts
ingredient:	onions
ingredient:	orange
ingredient:	passionfruit
ingredient:	pasta
category:	pies
ingredient:	pineapple
ingredient:	plums
ingredient:	polenta
ingredient:	pork
ingredient:	tatoes
category:	poultry
ingredient:	pumpkin
category:	relishes, dips and spreads
ingredient:	rhubarb
ingredient:	rice
category:	salads
ingredient:	sausage
category:	seafood
ingredient:	spinach
